trial_id,U_exp,K_exp,D_exp,base_level_fall
1,-4.560546875,-6.806640625,-1.962890625,1.0302734375
2,-4.439453125,-6.806640625,-1.962890625,1.0302734375
3,-4.560546875,-5.185546875,-1.962890625,1.0302734375
4,-4.560546875,-6.806640625,-2.908203125,1.0302734375
5,-4.560546875,-6.806640625,-1.962890625,1.6982421875
6,-4.560546875,-5.185546875,-2.908203125,1.6982421875
7,-4.439453125,-6.806640625,-2.908203125,1.6982421875
8,-4.439453125,-5.185546875,-1.962890625,1.6982421875
9,-4.439453125,-5.185546875,-2.908203125,1.0302734375
10,-4.439453125,-5.185546875,-2.908203125,1.6982421875
11,-3.560546875,-5.806640625,-2.962890625,-0.4697265625
12,-3.439453125,-5.806640625,-2.962890625,-0.4697265625
13,-3.560546875,-6.185546875,-2.962890625,-0.4697265625
14,-3.560546875,-5.806640625,-1.908203125,-0.4697265625
15,-3.560546875,-5.806640625,-2.962890625,0.1982421875
16,-3.560546875,-6.185546875,-1.908203125,0.1982421875
17,-3.439453125,-5.806640625,-1.908203125,0.1982421875
18,-3.439453125,-6.185546875,-2.962890625,0.1982421875
19,-3.439453125,-6.185546875,-1.908203125,-0.4697265625
20,-3.439453125,-6.185546875,-1.908203125,0.1982421875
21,-3.060546875,-6.306640625,-1.462890625,1.7802734375
22,-3.939453125,-6.306640625,-1.462890625,1.7802734375
23,-3.060546875,-6.685546875,-1.462890625,1.7802734375
24,-3.060546875,-6.306640625,-2.408203125,1.7802734375
25,-3.060546875,-6.306640625,-1.462890625,-0.5517578125
26,-3.060546875,-6.685546875,-2.408203125,-0.5517578125
27,-3.939453125,-6.306640625,-2.408203125,-0.5517578125
28,-3.939453125,-6.685546875,-1.462890625,-0.5517578125
29,-3.939453125,-6.685546875,-2.408203125,1.7802734375
30,-3.939453125,-6.685546875,-2.408203125,-0.5517578125
31,-4.060546875,-5.306640625,-2.462890625,0.2802734375
32,-4.939453125,-5.306640625,-2.462890625,0.2802734375
33,-4.060546875,-5.685546875,-2.462890625,0.2802734375
34,-4.060546875,-5.306640625,-1.408203125,0.2802734375
35,-4.060546875,-5.306640625,-2.462890625,0.9482421875
36,-4.060546875,-5.685546875,-1.408203125,0.9482421875
37,-4.939453125,-5.306640625,-1.408203125,0.9482421875
38,-4.939453125,-5.685546875,-2.462890625,0.9482421875
39,-4.939453125,-5.685546875,-1.408203125,0.2802734375
40,-4.939453125,-5.685546875,-1.408203125,0.9482421875
41,-4.310546875,-6.056640625,-2.712890625,-0.0947265625
42,-4.689453125,-6.056640625,-2.712890625,-0.0947265625
43,-4.310546875,-5.435546875,-2.712890625,-0.0947265625
44,-4.310546875,-6.056640625,-2.158203125,-0.0947265625
45,-4.310546875,-6.056640625,-2.712890625,-0.9267578125
46,-4.310546875,-5.435546875,-2.158203125,-0.9267578125
47,-4.689453125,-6.056640625,-2.158203125,-0.9267578125
48,-4.689453125,-5.435546875,-2.712890625,-0.9267578125
49,-4.689453125,-5.435546875,-2.158203125,-0.0947265625
50,-4.689453125,-5.435546875,-2.158203125,-0.9267578125
51,-3.310546875,-5.056640625,-1.712890625,1.4052734375
52,-3.689453125,-5.056640625,-1.712890625,1.4052734375
53,-3.310546875,-6.435546875,-1.712890625,1.4052734375
54,-3.310546875,-5.056640625,-1.158203125,1.4052734375
55,-3.310546875,-5.056640625,-1.712890625,0.5732421875
56,-3.310546875,-6.435546875,-1.158203125,0.5732421875
57,-3.689453125,-5.056640625,-1.158203125,0.5732421875
58,-3.689453125,-6.435546875,-1.712890625,0.5732421875
59,-3.689453125,-6.435546875,-1.158203125,1.4052734375
60,-3.689453125,-6.435546875,-1.158203125,0.5732421875
61,-3.810546875,-6.556640625,-2.212890625,-0.8447265625
62,-3.189453125,-6.556640625,-2.212890625,-0.8447265625
63,-3.810546875,-6.935546875,-2.212890625,-0.8447265625
64,-3.810546875,-6.556640625,-2.658203125,-0.8447265625
